南星直播-日韩频道,#genre#
[塞浦路斯]TV2020,http://kuzeykibris.tv/m3u8/tv_dialog.m3u8
[捷克共和国]VýchodočeskáTV(576p),https://stream.polar.cz/vctv/vctvlive-1/playlist.m3u8
[德国]TideTV(1080p),https://5889e7d0d6e28.streamlock.net/tide-live/smil:livestream.smil/playlist.m3u8
[德国]KulturMD(1080p),http://58bd5b7a98e04.streamlock.net/medienasa-live/kulturmd_high/playlist.m3u8
[德国]1-2-3TV(480p),http://123tv.cdn.ses-ps.com/index.m3u8
[德国]1-2-3.tv(480p),https://123tv-mx1.flex-cdn.net/index.m3u8
[德国]RFHTV(1080p),http://58bd5b7a98e04.streamlock.net/medienasa-live/RFH_high/playlist.m3u8
[德国]Noa4Hamburg,https://hls1.wtnet.de/noa4hh/apple/wifi6500.m3u8
[德国]Noa4Norderstedt,https://hls1.wtnet.de/noa4/apple/wifi6500.m3u8
[德国]FrankenFernsehen,https://s3.welocal.world/frankenfernsehen/media/191627/videos/hls.m3u8
[德国]NRWision,https://fms.nrwision.de/live/livestreamHD.stream/playlist.m3u8
[德国]NRWISION,https://fms.nrwision.de/live/livestreamHD.stream_source/playlist.m3u8
[德国]MDF.1(1080p),http://58bd5b7a98e04.streamlock.net/medienasa-live/mdf1_high/playlist.m3u8
[德国]PunktUM(1080p),http://58bd5b7a98e04.streamlock.net/medienasa-live/punktum_high/playlist.m3u8
[德国]Hauptstadt.TV(Potsdam),https://live2.telvi.de/hls/hauptstadttv_hd720.m3u8
[德国]OF-TVOffenbach(720p),https://5864df9ceac85.streamlock.net/germanpictures-live/mp4:streamschedule/playlist.m3u8
[德国]HealthTV(720p),http://62.67.13.53:1935/HealthTV/ghtv_live_master.stream/playlist.m3u8
[德国]Ran1(1080p),http://58bd5b7a98e04.streamlock.net/medienasa-live/ran1_high/playlist.m3u8
[德国]RBW(1080p),http://58bd5b7a98e04.streamlock.net/medienasa-live/rbw_high/playlist.m3u8
[德国]OKMagdeburg(1080p),http://58bd5b7a98e04.streamlock.net/medienasa-live/ok-magdeburg_high/playlist.m3u8
[德国]OKMerseburg-Querfurt(1080p),http://58bd5b7a98e04.streamlock.net/medienasa-live/ok-merseburg_high/playlist.m3u8
[德国]OKSalzwedel(1080p),http://58bd5b7a98e04.streamlock.net/medienasa-live/ok-salzwedel_high/playlist.m3u8
[德国]OKStendal(1080p),http://58bd5b7a98e04.streamlock.net/medienasa-live/mp4:ok-stendal_high/playlist.m3u8
[德国]OKWernigerode(1080p),http://58bd5b7a98e04.streamlock.net/medienasa-live/mp4:ok-wernigerode_high/playlist.m3u8
[德国]TVBayernLive,https://s3.welocal.world/tvbayernlive/media/134371/videos/hls.m3u8
[德国]Sonnenklar.TV(1080p),http://euvia.cdn.ses-ps.com/HLS-Live/index.m3u8
[德国]SophiaTV,https://www.onairport.live/sophiatv-it-live/livestream_low/playlist.m3u8
[德国]TeinsTV,http://live1.markenfunk.com/t1/live/chunklist.m3u8
[丹麦]TV2Lorry(720p),https://cdnapisec.kaltura.com/p/2045321/sp/204532100/playManifest/entryId/1_2kojfk4m/format/applehttp/protocol/https/uiConfId/32599481/a.m3u8
[多明尼加共和国]TeleCibao,http://cm.hostlagarto.com:8081/Telecibao/Telecibao/playlist.m3u8
[多明尼加共和国]RNN(720p),https://ss2.domint.net:3202/rnn_str/canal27/playlist.m3u8
[多明尼加共和国]Telemilenio(720p)[Not24/7],http://cm.hostlagarto.com:8081/Telemilenio/Telemilenio.myStream/playlist.m3u8
[多明尼加共和国]TVS(540p)[Not24/7],http://cm.hostlagarto.com:8081/Tvstv/TvstvHD.myStream/playlist.m3u8
[多明尼加共和国]Teleunion(480p),http://server3.prostudionetwork.com:1945/teleunion/TU/playlist.m3u8
[多明尼加共和国]SiTV,http://190.122.104.221/Player/sitv.m3u8
[多明尼加共和国]MegavisionCanal43,http://stream3.prostudionetwork.com:1943/megavision/MV/playlist.m3u8
[多明尼加共和国]PH(720p),https://cm.hostlagarto.com:4445/phtv/Phtv.myStream/playlist.m3u8
[多明尼加共和国]PHTVCanal34,https://cm.hostlagarto.com:4445/phtv/Phtv.myStream/chunks.m3u8
[多明尼加共和国]VALLEVISIONCANAL10HD,https://streaming.telecablecentral.com.do/Vallevision/ValleHD/playlist.m3u8
[多明尼加共和国]ORBITTV[Not24/7],https://ss3.domint.net:3134/otv_str/orbittv/playlist.m3u8
[多明尼加共和国]LVM(480p),https://uni01rtmp.tulix.tv/playout2multi9/lavozdemaria.stream/playlist.m3u8
[埃及]ElsharqTV,https://mn-nl.mncdn.com/elsharq_live/live/chunklist.m3u8
[埃及]ElsharqTV(1080p),https://mn-nl.mncdn.com/elsharq_live/live/playlist.m3u8
[埃及]MekameleenTV(720p),http://mn-nl.mncdn.com/mekameleen/smil:mekameleentv.smil/media.m3u8
[埃及]MEKAMELEENTV(720p),https://mn-nl.mncdn.com/mekameleen/smil:mekameleentv.smil/chunklist.m3u8
[埃及]Mekameleenمكملين,http://mn-nl.mncdn.com/mekameleen/smil:mekameleentv.smil/chunklist_b1864000.m3u8
[埃及]MokameleenTV,http://mn-nl.mncdn.com/mekameleen/smil:mekameleentv.smil/chunklist_b1864000.m3u8?v=787761179
[西班牙]Visión6TV,https://secure3.todostreaming.es/live/visionseis-livestream.m3u8
[西班牙]101TeleAntequera,https://limited38.todostreaming.es/live/101tv-AntequeraHD.m3u8
[西班牙]101TVMalaga,https://limited38.todostreaming.es/live/101tv-web101tv.m3u8
[西班牙]CadenaElite[Not24/7],https://cloudvideo.servers10.com:8081/8004/index.m3u8
[西班牙]TeleGilena(324p),https://5940924978228.streamlock.net/Directo1/Directo1/master.m3u8
[西班牙]NoroesteTV(720p),https://cloudvideo.servers10.com:8081/8032/index.m3u8
[西班牙]Telemadrid(720p),https://telemadridhls2-live-hls.secure2.footprint.net/egress/chandler/telemadrid/telemadrid_1/index.m3u8
[西班牙]PopularTVMelilla,http://5940924978228.streamlock.net:1935/8009/8009/playlist.m3u8
[西班牙]PopularTVMelilla(720p),https://5940924978228.streamlock.net/8009/8009/master.m3u8
[西班牙]TeleRibera,http://37.187.7.106/teleribera/live.m3u8
[西班牙]TreceTV,https://play.cdn.enetres.net/091DB7AFBD77442B9BA2F141DCC182F5021/021/playlist.m3u8
[西班牙]WebcamOndaMadrid(360p),https://telemadridhls2-live-hls.secure2.footprint.net/egress/chandler/telemadrid/ondamadrid_1/index.m3u8
[西班牙]WebcamOndaMadrid(720p),https://telemadridhls2-live-hls.secure2.footprint.net/egress/chandler/telemadrid/tvradio_1/index.m3u8
[西班牙]Punt3VallUixó,https://bit.controlstreams.com:5443/LiveApp/streams/punt3.m3u8
[西班牙]TV5LIMARESHD,https://unlimited1-us.dps.live/tv5/tv5.smil/playlist.m3u8
[西班牙]8TVCádiz,https://5940924978228.streamlock.net/8289/smil:8289.smil/master.m3u8
[西班牙]OizmendiTelebista(404p),https://5940924978228.streamlock.net/8161/8161/master.m3u8
[西班牙]TuyaLaJandaTelevisión,http://185.210.20.13:8080/0.m3u8
[西班牙]TVG,http://europa-crtvg.flumotion.com/crtvg/europa_med/chunks.m3u8
[西班牙]SolidariaTV,https://canadaremar2.todostreaming.es/live/solidariatv-webhd.m3u8
[西班牙]TVGEuropa(720p),https://europa-crtvg.flumotion.com/playlist.m3u8
[西班牙]SophiaTV(720p),https://www.onairport.live/sophiatv-es-live/livestream/master.m3u8
[西班牙]TVMCórdoba(414p),http://teledifusion.tv/cordoba/cordobalive/playlist.m3u8
[西班牙]TVGirona,http://ventdelnord.tv:8080/girona/directe.m3u8
[法国]Francophonie24,https://5421175365ea3.streamlock.net/live/smil:switch.smil/playlist.m3u8
[法国]MDL[426*240][426*240],http://tv.mondeduloisir.fr:1935/tixtv/smil:web.smil/playlist.m3u8
[法国]PERSIANAHD,http://51.210.199.21/hls/stream.m3u8
[法国]TV7Colmar,http://tv7.hdr-tv.com:1935/live/tv7/livestream/playlist.m3u8
[法国]PERSIANAENTERTAINMENT,http://51.210.199.14/hls/stream.m3u8
[法国]PersianaNostalgia,http://51.210.199.20/hls/stream.m3u8
[希腊]ZerounoTV(720p),http://5db313b643fd8.streamlock.net:1935/ZerounoTV/ZerounoTV/playlist.m3u8
[希腊]34100TV(720p),https://s1.cystream.net/live/34100/playlist.m3u8
[希腊]ΚρήτηTV(720p),http://live.cretetv.gr:1935/cretetv/myStream/f1tv.m3u8
[希腊]NRG91(720p),http://tv.nrg91.gr:1935/onweb/live/master.m3u8
[希腊]NRGTV(720p),https://5c389faa13be3.streamlock.net:9553/onweb/live/playlist.m3u8
[希腊]CHOICE[1920*888][1920*902],https://vod.streams.ovh:3528/stream/play.m3u8
[希腊]MESSATIDATV[854*358][1280*720],https://vod.streams.ovh:3037/stream/play.m3u8
[希腊]MGRTV,https://vod.streams.ovh:3876/stream/play.m3u8
[希腊]NEATV(1080p)[640*360][640*360],https://live.neatv.gr:8888/hls/neatv.m3u8
[希腊]NETMAXTV(720p),http://live.netmaxtv.com:8080/live/live/playlist.m3u8
[希腊]CANNALITVHD(720p),http://live.streams.ovh:1935/cannali/cannali/playlist.m3u8
[希腊]FAROSTV(540p)[960*540][960*540],https://s1.cystream.net/live/faros1/playlist.m3u8
[希腊]NG(612p),http://live.streams.ovh:1935/NGradio/NGradio/playlist.m3u8
[危地马拉]IglesiaDelCamino[640*480][640*480],http://streamingcontrol.com:1935/ectv/ectv/chunklist_w615405992.m3u8
[洪都拉斯]SercanoTV,http://stream.grupoabchn.com:1935/SERCANOHD/SERCANOLive.smil/chunklist_w330137931_b1848000.m3u8
[洪都拉斯]SercanoTV(720p),http://stream.grupoabchn.com:1935/SERCANOHD/SERCANOLive.smil/playlist.m3u8
[洪都拉斯]TENCanal10[Not24/7],http://stream.grupoabchn.com:1935/TENHD/TENLive.smil/chunklist_w1260850294_b1848000.m3u8
[洪都拉斯]TENCanal10[Not24/7][960*540][960*540],http://stream.grupoabchn.com:1935/TENHD/TENLive.smil/chunklist_w982424886_b1248000.m3u8
[洪都拉斯]TENCANAL10[Not24/7],http://stream.grupoabchn.com:1935/TENHD/TENLive.smil/chunklist_w1445105875_b1848000.m3u8
[洪都拉斯]TENCanal10(720p),http://stream.grupoabchn.com:1935/TENHD/TENLive.smil/master.m3u8
[洪都拉斯]TENCanal10(540p)[Not24/7][960*540][960*540],http://stream.grupoabchn.com:1935/TENHD/TENLIVEHD_2/playlist.m3u8
[洪都拉斯]TENHD(720p),http://stream.grupoabchn.com:1935/TENHD/smil:TENLive.smil/playlist.m3u8
[洪都拉斯]TENHD[Not24/7],http://stream.grupoabchn.com:1935/TENHD/TENLive.smil/chunklist_b1848000.m3u8
[洪都拉斯]TENHDECADOR(720p),http://stream.grupoabchn.com:1935/TENHD/TENLive.smil/chunklist_w1445105875_b18480j00.m3u8
[海地]TeleLouange,https://5790d294af2dc.streamlock.net/8124/8124/chunklist.m3u8
[匈牙利]1Mus,http://hz1.teleport.cc/HLS/HD.m3u8
[匈牙利]TV7Bekescsaba[640*360][640*360],https://stream.y5.hu/stream/stream_bekescsaba/stream.m3u8
[匈牙利]ATV(160p)[284*160][284*160],http://streamservers.atv.hu/atvlive/atvstream_1_aac/playlist.m3u8
[意大利]Videolina[704*404][704*404],http://livestreaming.videolina.it/live/Videolina/chunklist_w523418370.m3u8
[意大利]Videolina(Sardegna)(404p)[704*404][704*404],http://livestreaming.videolina.it/live/Videolina/playlist.m3u8
[意大利]TeleQuattro[854*480][854*480],http://wms.shared.streamshow.it/telequattro/telequattro/chunklist.m3u8
[意大利]Telefoggia[854*480][854*480],http://wms.shared.streamshow.it/telefoggia/mp4:telefoggia/chunklist_w485752473.m3u8
[意大利]Telefoggia(480p)[854*480][854*480],https://59d7d6f47d7fc.streamlock.net/telefoggia/telefoggia/playlist.m3u8
[意大利]IcaroTV(720p),https://59d7d6f47d7fc.streamlock.net/icarotv/icarotv/playlist.m3u8
[意大利]EliveBresciaTV(720p),http://59d7d6f47d7fc.streamlock.net:1935/elivebresciatv/elivebresciatv/playlist.m3u8
[意大利]EliveTVBrescia(720p),https://59d7d6f47d7fc.streamlock.net/elivebresciatv/elivebresciatv/playlist.m3u8
[意大利]LaTR3Marsala(720p),https://tsw.streamingwebtv24.it:1936/eslife1/eslife1/playlist.m3u8
[意大利]Telenod(576p),https://5db313b643fd8.streamlock.net/Telenord/Telenord/playlist.m3u8
[意大利]TelesudTrapani(720p),http://5cbd3bc28341f.streamlock.net:1935/telesud/live/playlist.m3u8
[意大利]EuroIndieMusicChartTV(360p)[640*360][640*360],http://178.33.224.197:1935/euroindiemusic/euroindiemusic/playlist.m3u8
[意大利]SuperJTVTeramo[1240*720][1240*720],http://uk4.streamingpulse.com:1935/SuperJtv/SuperJtv/playlist.m3u8
[意大利]SuperSixLombardia(720p),https://5db313b643fd8.streamlock.net/SUPERSIXLombardia/SUPERSIXLombardia/playlist.m3u8
[意大利]KissKissNapoliTV(380p),https://58f12ffd2447a.streamlock.net/KKTVNapoli/livestream/playlist.m3u8
[意大利]HistoryLab(270p)[480*270][480*270],https://5929b138b139d.streamlock.net/HistoryLab/livestream/playlis.m3u8
[意大利]OndaNovaraTV,https://585b674743bbb.streamlock.net/9006/9006/master.m3u8
[意大利]RadioCompanyTV(720p),https://5929b138b139d.streamlock.net/CompanyTV/livestream_720p/playlist.m3u8
[意大利]RadioIbizaTV(360p)[Not24/7],https://5929b138b139d.streamlock.net/RadioIbizaTV/livestream/playlist.m3u8
[意大利]RadioKissKissItaliaTV(380p),https://58f12ffd2447a.streamlock.net/KKTV01/livestream/playlist.m3u8
[意大利]Retemia(720p)[Not24/7],https://5db313b643fd8.streamlock.net/Retemia/Retemia/playlist.m3u8
[意大利]TeleAbruzzo[853*480][853*480],http://uk4.streamingpulse.com:1935/TeleabruzzoTV/TeleabruzzoTV/playlist.m3u8
[意大利]OrlerTV(420p)[720*420][720*420],https://w1.mediastreaming.it/orlertv/livestream/playlist.m3u8
[意大利]RadioTaorminaSicilia(720p),https://stream2.xdevel.com/video1s3-7/stream/playlist.m3u8
[乔丹]JawharaFM(720p),http://streaming.toutech.net:1935/live/mp4:jawharafm.sdp/playlist.m3u8
[吉尔吉斯斯坦]TV1KG,http://212.2.225.30:1935/live/site.stream/playlist.m3u8
[吉尔吉斯斯坦]ЛюбимыйHD/ТНТ4(576p),http://92.245.103.126:1935/live/live.stream/playlist.m3u8
[柬埔寨]FreshNews,http://167.99.65.12:1935/live/myStream/playlist.m3u8
[哈萨克斯坦]AstanaTV[1047*576][1047*576],https://sc.id-tv.kz/Astana.m3u8
[哈萨克斯坦]7Канал(Казахстан)[1047*576][1047*576],https://sc.id-tv.kz/7_kanal_34_35.m3u8
[哈萨克斯坦]Gakku[1047*576][1047*576],https://sc.id-tv.kz:443/Gakku.m3u8
[哈萨克斯坦]КТК(360p)[640*360][640*360],http://89.218.30.37/ktklive/live.hq/playlist.m3u8
[哈萨克斯坦]CaspianNews[931*512][931*512],https://sc.id-tv.kz/CaspianNews_36_37.m3u8
[黎巴嫩]NourAlSharq(576p),https://svs.itworkscdn.net/nour8satlive/livestream/playlist.m3u8
[黎巴嫩]NourMariam(576p),https://svs.itworkscdn.net/nour9satlive/livestream/playlist.m3u8
[黎巴嫩]NourSAT(576p),https://svs.itworkscdn.net/nour4satlive/livestream/playlist.m3u8
[列支敦士登]KommuTV,http://31.10.19.12:8066/live/999/0.m3u8
[摩洛哥]Tamazight(360p)[384*216][384*216],https://cdnamd-hls-globecast.akamaized.net/live/ramdisk/tamazight_tv8_snrt/hls_snrt/index.m3u8
[摩尔多瓦共和国]TNT_EXCLUSIV,http://89.28.25.122/hls/tnt_md.m3u8
[摩尔多瓦共和国]NorocTV,http://live.noroc.tv/hls/noroctv_chisinau.m3u8
[蒙古]МонголынМэдээ,http://103.14.38.107:1935/live/mn2.stream/chunklist.m3u8
[蒙古]МҮОНТ-1,http://103.14.38.107:1935/live/mnb.stream/chunklist.m3u8
[墨西哥]ConectaTV,http://204.12.211.210:1935/conectatv/conectatv/playlist.m3u8
[墨西哥]Teleritmo[854*480][854*480],http://mdstrm.com/live-stream-playlist/57b4dc126338448314449d0c.m3u8
[墨西哥]RTQQueretaro(360p)[640*360][640*360],http://wms.tecnoxia.com:1935/rytqrolive/rytqrolive/master.m3u8
[墨西哥]AlcarriaTV,http://217.182.77.27/live/alcarriatv-livestream.m3u8
[莫桑比克]TVMInternacional(480p)[854*480][854*480],http://online.tvm.co.mz:1935/live/smil:Channel2.smil/playlist.m3u8
[荷兰]TommyTeleshopping(480p)[854*480][854*480],http://ms7.mx-cd.net/tv/71-1356094/Tommy_Teleshopping.smil/playlist.m3u8
[荷兰]MeerTV,http://593aed234297b.streamlock.net/meervandaag/meervandaag/chunklist_w733465808.m3u8
[荷兰]MeerTV(720p),https://593aed234297b.streamlock.net/meervandaag/meervandaag/playlist.m3u8
[荷兰]RTVDordrecht(480p)[854*480][854*480],https://ms7.mx-cd.net/dtv-02/107-475823/RTV_Dordrecht.smil/playlist.m3u8
[荷兰]RTVNOF(WEB)(720p)[Not24/7],http://593aed234297b.streamlock.net:1935/rtvnof2/live/playlist.m3u8
[荷兰]RTVNOFTV(720p),http://593aed234297b.streamlock.net:1935/rtvnof/rtvnof/playlist.m3u8
[荷兰]RTVNoordoostFriesland(720p),https://593aed234297b.streamlock.net/rtvnof/rtvnof/playlist.m3u8
[荷兰]WOSTV(1080p)[854*480][854*480],https://ms7.mx-cd.net/dtv-11/99-660295/WOS.smil/playlist.m3u8
[荷兰]OmroepBrabant(1080p),https://d3slqp9xhts6qb.cloudfront.net/live/omroepbrabant/tv/index.m3u8
[荷兰]OmroepEde[854*480][854*480],https://ms7.mx-cd.net/tv/113-474263/EdeTV.smil/chunklist_w1121029744_b1894400_slNLD.m3u8
[荷兰]OmroepEde(480p)[854*480][854*480],https://ms7.mx-cd.net/tv/113-474263/EdeTV.smil/playlist.m3u8
[荷兰]OmroepFlevoland(720p)[640*360][640*360],https://d5ms27yy6exnf.cloudfront.net/live/omroepflevoland/tv/index.m3u8
[荷兰]OmroepOnsWestBrabant(480p)[856*480][856*480],https://ms2.mx-cd.net/tv/177-710139/Ons_West_Brabant_TV.smil/playlist.m3u8
[荷兰]XITE(BE),https://ms7.mx-cd.net/tv/226-1855782/XITE_NL.smil/chunklist_w323364313_b3328000_slNLD.m3u8
[荷兰]OmroepP&M(480p)[854*480][854*480],https://ms7.mx-cd.net/tv/153-840564/Omroep_Peel_en_Maas_TV.smil/chunklist.m3u8
[荷兰]OmroepTilburg[856*480][856*480],https://ms2.mx-cd.net/tv/184-782326/Omroep_Tilburg_TV.smil/chunklist_w1521128841_b1894400_slNLD.m3u8
[荷兰]OmroepTilburg(480p)[856*480][856*480],https://ms2.mx-cd.net/tv/184-782326/Omroep_Tilburg_TV.smil/playlist.m3u8
[荷兰]OmroepWest(1080p),https://d2dslh4sd7yvc1.cloudfront.net/live/omroepwest/ngrp:tv-feed_all/playlist.m3u8
[荷兰]OpenRotterdam(480p)[854*480][854*480],http://ms2.mx-cd.net/tv/141-573555/OPEN_Rotterdam.smil/playlist.m3u8
[荷兰]GO-RTV(720p),http://593aed234297b.streamlock.net:1935/gotvsjoerd/gotvsjoerd/playlist.m3u8
[荷兰]ORTS[854*480][854*480],http://ms7.mx-cd.net/tv/200-1006554/ORTS_TV.smil/chunklist_b1894400_slNLD.m3u8
[新西兰]WairarapaTV,https://stream.wairarapatv.co.nz/Broadband_High/playlist.m3u8
[NZ;AU]MāoriTelevision(1080p)[512*288][512*288],https://bcsecurelivehls-i.akamaihd.net//hls/live/720612/1614493167001_1/master.m3u8
[秘鲁]OvaciónTV(Lima)[Not24/7],https://5c3fb01839654.streamlock.net:1963/iptvovacion1/liveovacion1tv/playlist.m3u8
[秘鲁]TVNoticias7.3[1088*614][1088*614],http://www.radiosargentina.com.ar/php/tvm3u.php?id=DIPE0002&mode=12
[秘鲁]PanamericanaTV(HD)[Not24/7][530*298][530*298],https://cdnhd.iblups.com/hls/ptv2.m3u8
[秘鲁]Cultura24(720p),https://vs8.live.opencaster.com/cultura24/smil:cultura24/playlist.m3u8
[秘鲁]BHTV(720p),http://cdn1.ujjina.com:1935/iptvbhtv/livebhtvtv/playlist.m3u8
[秘鲁]ExitosaTV[480*270][480*270],https://cu.onliv3.com/livevd1/user2.m3u8
[巴基斯坦]OneGolf,http://162.250.201.58:6211/pk/ONEGOLF/tracks-v1a1/mono.m3u8
[波兰]TVTorunHD(1080p),http://217.173.176.107:1935/live/tvk.stream/playlist.m3u8
[波兰]TVToruń(1080p)[640*360][640*360],http://217.173.176.107:1935/live/ngrp:tvk.stream_all/master.m3u8
[波兰]TelewizjaToruń[640*360][640*360],http://217.173.176.107:1935/live/ngrp:tvk.stream_mobile/chunks.m3u8
[PR]CDMTV(480p)[854*480][854*480],http://205.164.56.130:1935/marcos536/marcos536/playlist.m3u8
[PS]PalestineMubasher[720*404][720*404],http://htvpalsat.mada.ps:8888/PBCLive/index.m3u8
[PS]MusawaChannel(404p)[720*404][720*404],http://htvpalsat.mada.ps:8888/musawa/index.m3u8
[PS]RajeenTV,https://mn-nl.mncdn.com/palabroad/live/playlist.m3u8
[PS]WatarTV,http://htvint.mada.ps:8889/orient/index.m3u8
[PS]NablusTV,http://htvmada.mada.ps:8888/nabluslive/index.m3u8
[PS]Audeh[873*480][873*480],http://htvpalsat.mada.ps:8888/audeh/index.m3u8
[PS]RadioAlbaladTV,http://streaming.zaytonatube.com:8080/radioalbalad/radioalbalad/playlist.m3u8
[葡萄牙]SobrenaturalTV(1080p),http://213.13.26.11:1935/live/sobrenaturaltv/livestream.m3u8
[巴拉圭]TreceParaguay[426*266][426*266],http://174.138.118.252/live/trece.m3u8
[巴拉圭]Unicanal[Not24/7][426*266][426*266],http://45.55.127.106/live/unicanal.m3u8
[罗马尼亚]TVR1HD(480p),https://mn-nl.mncdn.com/tvri_test/smil:tvri_test.smil/index.m3u8
[罗马尼亚]TVRCluj(720p),https://mn-nl.mncdn.com/tvrcluj_new/smil:tvrcluj_new.smil/index.m3u8
[罗马尼亚]TVRCraiova(720p),https://mn-nl.mncdn.com/tvrcraiova_new/smil:tvrcraiova_new.smil/index.m3u8
[罗马尼亚]TVRInternational(720p),https://mn-nl.mncdn.com/tvri_test/smil:tvri_test.smil/playlist.m3u8
[罗马尼亚]Profit.ro(404p)[720*407][720*407],https://stream1.profit.ro:1945/profit/livestream/playlist.m3u8
[罗马尼亚]LightChannel[854*480][854*480],http://streamer1.streamhost.org:1935/salive/GMIlcbgM/playlist.m3u8
[塞尔维亚]TVDugaPlus(480p)[854*480][854*480],http://109.92.29.10:1935/tvduga/tvduga/chunklist_w1097511114.m3u8
南星直播-体育赛事,#genre#
纬来体育,http://123.51.230.108:18509/.m3u8
ELEVEN体育2台,http://61.221.81.93:8078/hls/26/80/esport2.m3u8
日-J Sports 1[Not 24/7],http://redlabmcdn.s.llnwi.net/nv02/bs15hd/index.m3u8
日-J Sports 2[Not 24/7],http://redlabmcdn.s.llnwi.net/nv02/bs11hd/index.m3u8
日-J Sports 3[Not 24/7],http://redlabmcdn.s.llnwi.net/nv02/bs12hd/index.m3u8
日-J Sports 4,https://stream01.willfonk.com/live_playlist.m3u8?cid=BS245&r=FHD&ccode=JP&m=d0:20:20:04:35:cc&t=0d6938cb3dcf4b79848bc1753a59daf1
咪咕篮球,http://39.134.115.163:8080/PLTV/88888910/224/3221226243/index.m3u8
曼联官方 MUTV,https://bcovlive-a.akamaihd.net/r2d2c4ca5bf57456fb1d16255c1a535c8/eu-west-1/6058004203001/playlist.m3u8
BRTV体育休闲,http://111.20.35.103:6610/yinhe/2/ch00000090990000001329/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=
FTV足球频道,https://nmglive.imfc.cn/5n1r1c/182396.m3u8
新视觉 HD,http://39.134.115.163:8080/PLTV/88888910/224/3221225622/index.m3u8
广东体育,http://120.84.96.73:808/hls/22/index.m3u8
辽宁体育,http://42.176.185.28:9901/tsfile/live/1007_1.m3u8
Bahrain Sports 2,https://5c7b683162943.streamlock.net/live/ngrp:bahrainsportstwo_all/playlist.m3u8?checkedby:iptvcat.com
DD Sports,http://103.199.161.254/Content/ddsports/Live/Channel(DDSPORTS)/index.m3u8
EDGEsport,https://edgesport-rakuten-samsung.amagi.tv/playlist.m3u8
ESPN 4K,http://51.222.87.103:8880/287994016241/287994016241/31034
ESPN 3,http://51.222.87.103:8880/287994016241/287994016241/16725
ESR 24x7 eSports Network,https://eyeonesports.com/ES2RA-628g.m3u8
EUROSPORT HD,https://cdn-apse1-prod.tsv2.amagi.tv/linear/amg01448-samsungin-eurosporthdin-samsungin/playlist.m3u8
FIGHT SPORTS,http://210.210.155.35:80/dr9445/h/h05/01.m3u8
KBP Sports,https://live-k2302-kbp.1plus1.video/sport/smil:sport.smil/playlist.m3u8
Mav TV Motorsports Network,https://mavtv-mavtvglobal-1-nz.samsung.wurl.tv/playlist.m3u8?checkedby:iptvcat.com
Motorvision,http://210.210.155.35/uq2663/h/h09/01.m3u8
ONE Golf,http://162.250.201.58:6211/pk/ONEGOLF/index.m3u8
Race,https://d4de59d01af447a498cb0565ad005588.mediatailor.us-east-1.amazonaws.com/v1/master/82ded7a88773aef3d6dd1fedce15ba2d57eb6bca/viewmedia-7/live_099/HD/playlist.m3u8
Red Bull TV HD,http://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master_6660.m3u8
Ski TV,https://d2xeo83q8fcni6.cloudfront.net/v1/master/9d062541f2ff39b5c0f48b743c6411d25f62fc25/SkiTV-SynapseTV/193.m3u8
Sportoutdoor.tv,https://gto2000-sportoutdoortv-1-it.samsung.wurl.tv/playlist.m3u8?checkedby:iptvcat.com
Sports Grid,https://sportsgrid-vizio.amagi.tv/playlist.m3u8
Stadium Sport,https://bcovlive-a.akamaihd.net/79ebca453e6340dcb32b09707ce3fb82/us-east-1/5994000126001/playlist.m3u8
TENNIS,https://tennischannel-intl-samsung-uk.amagi.tv/playlist540_p.m3u8
TNTSPORTS 1,https://glxlmn026c.singularcdn.net.br/playout_01/playlist-720p.m3u8
TNTSPORTS 2,https://glxlmn026c.singularcdn.net.br/playout_02/playlist-720p.m3u8
TNTSPORTS 3,https://glxlmn026c.singularcdn.net.br/playout_03/playlist-720p.m3u8
TNTSPORTS 4,https://glxlmn026c.singularcdn.net.br/playout_04/playlist-720p.m3u8
TNTSPORTS 5,https://glxlmn026c.singularcdn.net.br/playout_05/playlist-720p.m3u8
TVRI Sport HD,http://118.97.50.107/Content/HLS/Live/Channel(TVRI4)/index.m3u8
TVRI SPORT,http://wpc.d1627.nucdn.net:80/80D1627/o-tvri/Content/HLS/Live/Channel(TVRI4)/Stream(03)/index.m3u8
TVRI Sports,http://wpc.d1627.nucdn.net/80D1627/o-tvri/Content/HLS/Live/Channel(TVRI4)/Stream(03)/index.m3u8
TVS Classic Sports,http://rpn1.bozztv.com/36bay2/gusa-tvs/index.m3u8
TVS Sports Bureau,https://rpn1.bozztv.com/36bay2/gusa-tvssportsbureau/index.m3u8
TVS Sports,https://rpn1.bozztv.com/36bay2/gusa-tvssports/index.m3u8
TVS Women Sports,https://rpn1.bozztv.com/36bay2/gusa-tvswsn/index.m3u8
Астрахань.Ru Sport,http://streaming.astrakhan.ru/astrakhanrusporthd/tracks-v5a1/index.m3u8
魅力足球,http://183.207.255.190/live/program/live/mlyyhd/4000000/mnf.m3u8
红牛RedBull,http://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master_1660.m3u8
NewTV超级体育,http://39.134.116.30:8080/PLTV/88888910/224/3221225622/index.m3u8
游戏风云,http://183.207.255.188/live/program/live/yxfyhd/4000000/mnf.m3u8
